3640,ﾘﾝ化亜鉛粒剤,ﾒﾘｰﾈｺ1号,大丸合成薬品株式会社,ﾘﾝ化亜鉛,ﾘﾝ化亜鉛,3.00%,1,殺そ剤,粒剤,5/31/1958,5/30/2018
3657,"2,4-PA粒剤","粒状水中2,4-D｢石原｣",石原産業株式会社,"2,4-PAｴﾁﾙ","2,4-PA",1.40%,1,除草剤,粒剤,5/31/1958,5/30/2018
3663,CAT水和剤,ｼﾏｼﾞﾝ,日産化学工業株式会社,CAT,CAT,50.00%,1,除草剤,水和剤,6/30/1958,6/29/2018
3667,生石灰,丸京印ﾎﾞﾙﾄﾞｰ液用生石灰,株式会社丸京石灰,生石灰,生石灰,95.00%,1,その他,その他,6/30/1958,6/29/2018
3725,硫黄粉剤,細井硫黄粉剤50,細井化学工業株式会社,硫黄,硫黄,50.00%,1,殺菌剤,粉剤,9/30/1958,9/29/2018
3837,生石灰,ﾏﾙｷﾁ印ﾎﾞﾙﾄﾞｰ液用生石灰,有限会社井上満吉商店,生石灰,生石灰,95.00%,1,その他,その他,1/23/1963,1/22/2020
3848,硫酸銅,蛇の目印粉状丹礬,ﾊﾟﾝﾊﾟｼﾌｨｯｸ･ｶｯﾊﾟｰ株式会社,硫酸銅五水塩,硫酸銅,98.50%,1,殺菌剤,その他,1/31/1959,1/30/2019
3883,硫酸銅,三井硫酸銅(粉状),三井金属鉱業株式会社,硫酸銅五水塩,硫酸銅,98.50%,1,殺菌剤,その他,1/31/1959,1/30/2019
3971,生石灰,ﾏﾙﾔﾏ印農薬用生石灰,近藤石灰工業株式会社,生石灰,生石灰,95.00%,1,その他,その他,3/30/1959,3/29/2019
4015,MCPAｴﾁﾙ粒剤,粒状水中MCP｢日産｣,日産化学工業株式会社,MCPAｴﾁﾙ,MCPA,1.20%,1,除草剤,粒剤,5/12/1959,5/11/2019
4067,ﾒﾀｱﾙﾃﾞﾋﾄﾞ粒剤,ﾅﾒﾄｯｸｽ,ｻﾝｹｲ化学株式会社,ﾒﾀｱﾙﾃﾞﾋﾄﾞ,ﾒﾀｱﾙﾃﾞﾋﾄﾞ,6.00%,1,殺虫剤,粒剤,6/8/1959,6/7/2019
4088,ﾘﾝ化亜鉛粒剤,Z･P,太洋化学工業株式会社,ﾘﾝ化亜鉛,ﾘﾝ化亜鉛,3.00%,1,殺そ剤,粒剤,8/6/1959,8/5/2019
4140,石灰硫黄合剤,宮内石灰硫黄合剤,宮内硫黄合剤株式会社,石灰硫黄合剤,石灰硫黄合剤,27.50%,1,殺菌剤,その他,12/25/1959,12/24/2019
4144,MCPAｴﾁﾙ粒剤,粒状水中MCP｢石原｣,石原産業株式会社,MCPAｴﾁﾙ,MCPA,1.20%,1,除草剤,粒剤,12/25/1959,12/24/2019
4250,ﾀﾞｲｱｼﾞﾉﾝ水和剤,日本化薬ﾀﾞｲｱｼﾞﾉﾝ水和剤34,日本化薬株式会社,ﾀﾞｲｱｼﾞﾉﾝ,ﾀﾞｲｱｼﾞﾉﾝ,34.00%,1,殺虫剤,水和剤,2/28/1960,2/27/2020
4262,ﾀﾞｲｱｼﾞﾉﾝ水和剤,日農ﾀﾞｲｱｼﾞﾉﾝ水和剤34,日本農薬株式会社,ﾀﾞｲｱｼﾞﾉﾝ,ﾀﾞｲｱｼﾞﾉﾝ,34.00%,1,殺虫剤,水和剤,2/28/1960,2/27/2020
